model,prompt,CharTr,CharRe,char_coherence_mean,char_coherence_std,count,missing_policy,unit
claude45,large,0.23228291316526609,0.46234493797519005,0.15667146568386953,0.2097101884848397,119,zero,character
claude45,original,0.27103510895883776,0.49859765940274414,0.18766935520600353,0.23688477489992488,118,zero,character
gpt4o,large,0.31168831168831174,0.5277236652236652,0.21607505526594983,0.24079956812444958,132,zero,character
gpt4o,original,0.35772446383133405,0.5477917121046892,0.2534021514708016,0.2744811414497236,131,zero,character
human,large,0.39727929984779303,0.5427416286149163,0.2855943050010161,0.2598924639871206,146,zero,character
human,original,0.39843358395989975,0.5730785296574771,0.28125788763580767,0.27732853001533103,114,zero,character
internvl3,large,0.2770434945631796,0.5478627671541056,0.20205170317783447,0.25377513963090387,127,zero,character
internvl3,original,0.4367252456538171,0.6672996976568405,0.3279154697460797,0.3166640207009721,126,zero,character
llama4scout,large,0.24261526832955405,0.39739229024943307,0.16922584353934664,0.2389400691121678,105,zero,character
llama4scout,original,0.1321477562218303,0.1707035077405448,0.08732070195624407,0.19774152902959125,81,zero,character
qwen3vl,large,0.24965714285714288,0.5239428571428572,0.17361258572723984,0.21634158354465502,125,zero,character
qwen3vl,original,0.29239571797711333,0.5524640088593576,0.20816499657553253,0.2511456515642967,129,zero,character
claude45,large,0.2607704402515723,0.5190476190476191,0.17588589072057048,0.2145030790857476,106,nan,character
claude45,original,0.30459183673469387,0.5603287981859411,0.2109046087076992,0.24120770025238217,105,nan,character
gpt4o,large,0.3457382953181273,0.5853741496598639,0.23967989323617966,0.2422127093067381,119,nan,character
gpt4o,original,0.397134786117837,0.6081416464891041,0.2813193376497882,0.2753002491633522,118,nan,character
human,large,0.46776433691756275,0.6390344982078853,0.3362642623399061,0.24989623828515703,124,nan,character
human,original,0.4588023088023088,0.6599086099086099,0.3238727190957785,0.2733872837874817,99,nan,character
internvl3,large,0.31414753401360546,0.6212372448979592,0.2291121991391516,0.2585517854189106,112,nan,character
internvl3,original,0.49574217074217075,0.7574753324753325,0.3722283710631175,0.3119385302728075,111,nan,character
llama4scout,large,0.3351921470342523,0.5490288220551378,0.23379886278462367,0.25272450364820304,76,nan,character
llama4scout,original,0.32436267436267435,0.41899951899951904,0.21433263207441727,0.2639711479122301,33,nan,character
qwen3vl,large,0.28114543114543117,0.59002574002574,0.19550966861175656,0.22009203174462413,111,nan,character
qwen3vl,original,0.3251642036124795,0.614378078817734,0.23149383239865257,0.2544736056285784,116,nan,character
