model,prompt,CharTr,CharRe,char_coherence_mean,char_coherence_std,count,missing_policy,unit
claude45,large,0.2607704402515723,0.5190476190476191,0.17588589072057048,0.2145030790857476,106,nan,character
claude45,original,0.30459183673469387,0.5603287981859411,0.2109046087076992,0.24120770025238217,105,nan,character
gpt4o,large,0.3457382953181273,0.5853741496598639,0.23967989323617966,0.2422127093067381,119,nan,character
gpt4o,original,0.397134786117837,0.6081416464891041,0.2813193376497882,0.2753002491633522,118,nan,character
human,large,0.46776433691756275,0.6390344982078853,0.3362642623399061,0.24989623828515703,124,nan,character
human,original,0.4588023088023088,0.6599086099086099,0.3238727190957785,0.2733872837874817,99,nan,character
internvl3,large,0.31414753401360546,0.6212372448979592,0.2291121991391516,0.2585517854189106,112,nan,character
internvl3,original,0.49574217074217075,0.7574753324753325,0.3722283710631175,0.3119385302728075,111,nan,character
llama4scout,large,0.3351921470342523,0.5490288220551378,0.23379886278462367,0.25272450364820304,76,nan,character
llama4scout,original,0.32436267436267435,0.41899951899951904,0.21433263207441727,0.2639711479122301,33,nan,character
qwen3vl,large,0.28114543114543117,0.59002574002574,0.19550966861175656,0.22009203174462413,111,nan,character
qwen3vl,original,0.3251642036124795,0.614378078817734,0.23149383239865257,0.2544736056285784,116,nan,character
