model,prompt,CharTr,CharRe,char_coherence_mean,char_coherence_std,observed_rows,total_rows,missing_policy,unit
claude45,large,0.2607704402515723,0.5190476190476191,0.34603570719236443,0.32399388133661106,106,119,nan,character
claude45,original,0.30459183673469387,0.5603287981859411,0.38485606058626337,0.3260271101611484,105,118,nan,character
gpt4o,large,0.3457382953181273,0.5853741496598639,0.4237091937317507,0.32061926824290843,119,132,nan,character
gpt4o,original,0.397134786117837,0.6081416464891041,0.4326316306370727,0.33508167857389565,118,131,nan,character
human,large,0.46776433691756275,0.6390344982078853,0.48818946933854995,0.26170153427796056,124,146,nan,character
human,original,0.4588023088023088,0.6599086099086099,0.5321681946184379,0.2859107783017814,99,114,nan,character
internvl3,large,0.31414753401360546,0.6212372448979592,0.3597799702677477,0.308091356723711,112,127,nan,character
internvl3,original,0.49574217074217075,0.7574753324753325,0.4535529440725722,0.32327326392062916,111,126,nan,character
llama4scout,large,0.3351921470342523,0.5490288220551378,0.3938810554874299,0.3291986830589992,76,105,nan,character
llama4scout,original,0.32436267436267435,0.41899951899951904,0.3967287594858795,0.3625695079488925,33,81,nan,character
qwen3vl,large,0.28114543114543117,0.59002574002574,0.3621176524822659,0.32407934905512953,111,125,nan,character
qwen3vl,original,0.3251642036124795,0.614378078817734,0.37610460775656923,0.3305863221573618,116,129,nan,character
