model,prompt,story_id,CharTr,CharRe,char_coherence
claude45,large,345,0.5,0.5,0.24491866240370913
claude45,large,515,0.375,0.6666666666666666,0.3032481606344925
claude45,large,721,0.08333333333333333,0.08333333333333333,0.020806248915837506
claude45,large,723,0.5,1.0,0.46211715726000974
claude45,large,733,0.5,0.7,0.34784903564776704
claude45,large,948,0.16666666666666666,0.6666666666666666,0.08258398221855068
claude45,large,1111,,,
claude45,large,1201,,,
claude45,large,1214,0.6,1.0,0.5370495669980352
claude45,large,1467,0.25,0.25,0.12245933120185457
claude45,large,2400,0.3125,0.4375,0.16879263117888943
claude45,large,2702,0.4,0.4,0.28244977642311253
claude45,large,2722,,,
claude45,large,2926,0.16666666666666666,0.6666666666666666,0.15403905242000324
claude45,large,3230,0.25,0.625,0.12245933120185457
claude45,large,3295,0.3333333333333333,0.5,0.19565155025167824
claude45,large,3761,1.0,1.0,0.7615941559557649
claude45,large,3891,0.0,0.0,0.0
claude45,large,4047,,,
claude45,large,4173,0.42857142857142855,0.7142857142857143,0.2969054468477651
claude45,large,4797,0.0,0.0,0.0
claude45,large,5047,,,
claude45,large,5062,,,
claude45,large,5201,0.0625,0.53125,0.042839919167091775
claude45,large,5265,0.25,0.75,0.23105857863000487
claude45,large,5349,0.0,0.4,0.0
claude45,large,5540,,,
claude45,large,5721,,,
claude45,large,6111,1.0,1.0,0.7615941559557649
claude45,large,6215,0.16666666666666666,0.16666666666666666,0.055328055262368996
claude45,large,6729,0.0,0.09375,0.0
claude45,large,6847,0.5,0.6666666666666666,0.34478862591425957
claude45,large,6878,0.0,0.5,0.0
claude45,large,6921,0.1111111111111111,0.5,0.08288625855370636
claude45,large,7065,0.375,0.625,0.21512593115592432
claude45,large,7150,0.0,0.0,0.0
claude45,large,7195,0.125,1.0,0.12245933120185457
claude45,large,7596,0.30000000000000004,0.6,0.20996382128319424
claude45,large,7702,0.375,0.625,0.21512593115592432
claude45,large,8061,0.19047619047619047,0.8571428571428571,0.16123267587678838
claude45,large,8085,0.0,0.0,0.0
claude45,large,8154,0.15000000000000002,0.25,0.04965679615216563
claude45,large,8551,,,
claude45,large,9334,0.4,0.8,0.3095069212126385
claude45,large,9418,0.06666666666666667,0.4666666666666666,0.06579177340830134
claude45,large,9914,0.0,0.25,0.0
claude45,large,10408,0.3333333333333333,0.3333333333333333,0.11909189630205382
claude45,large,10486,0.2,0.2,0.03997868031116358
claude45,large,10499,0.5,0.6666666666666666,0.4079037710719249
claude45,large,11260,0.375,0.625,0.21512593115592432
claude45,large,11340,0.3333333333333333,0.8333333333333334,0.2449186624037091
claude45,large,11457,,,
claude45,large,11541,,,
claude45,large,11543,,,
claude45,large,11678,0.0,0.3333333333333333,0.0
claude45,large,11719,0.25,0.75,0.1853331999081395
claude45,large,12358,,,
claude45,large,12423,0.1,0.7,0.098687660112452
claude45,large,13596,1.0,1.0,0.7615941559557649
claude45,large,13683,0.4,0.6,0.23232066633495338
claude45,original,345,0.25,0.25,0.062418746747512514
claude45,original,515,0.375,0.7083333333333334,0.3173279845035511
claude45,original,721,0.125,0.125,0.031209373373756257
claude45,original,723,0.3333333333333333,1.0,0.32151273753163434
claude45,original,733,0.5,0.7,0.34784903564776704
claude45,original,948,0.08333333333333333,0.4166666666666667,0.06177773330271317
claude45,original,1111,,,
claude45,original,1201,,,
claude45,original,1214,0.0,1.0,0.0
claude45,original,1467,1.0,1.0,0.7615941559557649
claude45,original,2400,0.3125,0.4375,0.13877233895171842
claude45,original,2702,0.8,0.8,0.5648995528462251
claude45,original,2722,,,
claude45,original,2926,0.3333333333333333,0.9166666666666666,0.3080781048400065
claude45,original,3230,0.25,0.5,0.16994332457841885
claude45,original,3295,0.375,0.625,0.26226795200376113
claude45,original,3761,1.0,1.0,0.7615941559557649
