model,prompt,seed,story_id,num_chains,avg_chain_size,coref_ratio
human,original,42,13683,2,7.5,0.9988524354140639
human,original,42,13596,5,3.6,0.616018324954511
human,original,42,12423,4,4.75,0.8288773922429453
human,original,42,12358,2,6.5,0.9968991101462736
human,original,42,11719,2,6.0,0.9949052907405388
human,original,42,11678,3,5.666666666666667,0.9547239922927337
human,original,42,11543,4,5.0,0.8474072141058118
human,original,42,11541,4,3.25,0.6698515564701782
human,original,42,11457,1,9.0,0.9999999635977413
human,original,42,11340,2,6.5,0.9968991101462736
human,original,42,11260,5,3.2,0.5640291275177679
human,original,42,10499,4,2.75,0.5952677306997588
human,original,42,10486,5,5.2,0.7770670098724379
human,original,42,10408,7,3.2857142857142856,0.4371630286577889
human,original,42,9914,3,4.333333333333333,0.8936263675093581
human,original,42,9418,3,6.333333333333333,0.9706895565769862
human,original,42,9334,2,6.5,0.9968991101462736
human,original,42,8551,2,7.0,0.9981133843224367
human,original,42,8154,3,4.666666666666667,0.9138494194403485
human,original,42,8085,4,2.75,0.5952677306997588
human,original,42,8061,4,4.5,0.808330888044811
human,original,42,7702,2,7.0,0.9981133843224367
human,original,42,7596,4,4.75,0.8288773922429453
human,original,42,7195,4,3.5,0.70280303366564
human,original,42,7150,4,3.5,0.70280303366564
human,original,42,7065,4,3.25,0.6698515564701782
human,original,42,6921,5,3.0,0.5361968300109659
human,original,42,6878,2,3.5,0.9403764740238472
human,original,42,6847,4,6.75,0.9332874150134229
human,original,42,6729,8,3.375,0.3980657062931662
human,original,42,6215,2,3.5,0.9403764740238472
human,original,42,6111,4,3.25,0.6698515564701782
human,original,42,5721,3,3.0,0.7601953582523919
human,original,42,5540,6,3.0,0.46146262313113756
human,original,42,5349,3,2.3333333333333335,0.6499394116396263
human,original,42,5265,3,6.0,0.9635551199895266
human,original,42,5201,9,4.0,0.4169141953231067
human,original,42,5062,1,10.0,0.999999994974963
human,original,42,5047,4,2.75,0.5952677306997588
human,original,42,4797,3,2.0,0.5813184571171806
human,original,42,4173,6,6.166666666666667,0.7723264083680951
human,original,42,4047,7,5.571428571428571,0.6611100463266596
human,original,42,3891,3,4.0,0.8689811246743774
human,original,42,3761,5,5.2,0.7770670098724379
human,original,42,3295,4,3.75,0.7329915688790408
human,original,42,3230,4,4.0,0.760544847685396
human,original,42,2926,5,3.2,0.5640291275177679
human,original,42,2722,2,5.5,0.991634849741338
human,original,42,2702,2,8.0,0.9993020763513971
human,original,42,2400,5,3.6,0.616018324954511
human,original,42,1467,4,2.25,0.5087910985706078
human,original,42,1214,3,4.0,0.8689811246743774
human,original,42,1201,4,3.0,0.6340318177388176
human,original,42,1111,3,4.666666666666667,0.9138494194403485
human,original,42,948,2,8.0,0.9993020763513971
human,original,42,733,4,4.5,0.808330888044811
human,original,42,723,2,6.0,0.9949052907405388
human,original,42,721,5,4.2,0.6849199781029739
human,original,42,515,7,5.428571428571429,0.6494829562125692
human,original,42,345,5,2.2,0.4129162032860138
human,large,42,13683,4,8.0,0.9636735073973529
human,large,42,13596,4,7.5,0.9536235050787859
human,large,42,12423,10,7.1,0.6102318625292031
human,large,42,12358,10,6.4,0.5644640623138522
human,large,42,11719,7,6.571428571428571,0.7340421508096172
human,large,42,11678,8,4.125,0.4738172693763117
human,large,42,11543,4,5.0,0.8474072141058118
human,large,42,11541,4,5.0,0.8474072141058118
human,large,42,11457,7,4.285714285714286,0.5450918194998919
human,large,42,11340,10,3.3,0.3182245223383665
human,large,42,11260,5,7.0,0.8847461328637138
human,large,42,10499,6,3.5,0.5243805889562654
human,large,42,10486,7,3.0,0.403615090127592
human,large,42,10408,6,5.833333333333333,0.748969830450033
human,large,42,9914,7,6.285714285714286,0.7146765836067003
human,large,42,9418,8,5.25,0.5753145349040011
human,large,42,9334,6,4.0,0.5820499548410306
human,large,42,8551,8,3.875,0.44925802151501626
human,large,42,8154,8,3.375,0.3980657062931662
human,large,42,8085,8,3.75,0.4367153108489706
human,large,42,8061,5,4.8,0.743420937403751
human,large,42,7702,7,4.428571428571429,0.5592564348363973
human,large,42,7596,6,5.166666666666667,0.6960918947706721
human,large,42,7195,6,4.166666666666667,0.6000907329398486
human,large,42,7150,8,3.125,0.37147861144380634
human,large,42,7065,8,5.625,0.6057922212404333
human,large,42,6921,5,4.6,0.7250275395140692
human,large,42,6878,4,4.25,0.7856065856161589
human,large,42,6847,5,6.4,0.8558027155778727
human,large,42,6729,13,3.3846153846153846,0.25444041987038785
human,large,42,6215,4,5.0,0.8474072141058118
human,large,42,6111,5,3.4,0.5906363091998973
human,large,42,5721,4,3.75,0.7329915688790408
human,large,42,5540,7,3.5714285714285716,0.46953702445290096
human,large,42,5349,8,4.375,0.49766095230365814
human,large,42,5265,3,7.0,0.9810797174732149
human,large,42,5201,8,5.25,0.5753145349040011
human,large,42,5062,5,7.4,0.9009130463748862
human,large,42,5047,8,2.75,0.33043887960173574
human,large,42,4797,6,4.0,0.5820499548410306
human,large,42,4173,6,3.6666666666666665,0.5441934667013559
human,large,42,4047,14,5.714285714285714,0.38666426563899936
human,large,42,3891,4,4.5,0.808330888044811
human,large,42,3761,4,6.75,0.9332874150134229
human,large,42,3295,4,6.5,0.9247615714619029
human,large,42,3230,8,4.625,0.5207754938618373
human,large,42,2926,4,4.5,0.808330888044811
human,large,42,2722,5,3.8,0.6401825682277622
human,large,42,2702,7,6.142857142857143,0.7045604551402622
human,large,42,2400,4,8.0,0.9636735073973529
human,large,42,1467,7,3.5714285714285716,0.46953702445290096
human,large,42,1214,7,3.0,0.403615090127592
human,large,42,1201,6,5.833333333333333,0.748969830450033
human,large,42,1111,6,4.333333333333333,0.6175410392444916
human,large,42,948,6,6.5,0.7937660760548836
human,large,42,733,3,12.666666666666666,0.9995576741890313
human,large,42,723,5,7.4,0.9009130463748862
human,large,42,721,7,4.857142857142857,0.599833913905728
human,large,42,515,8,3.75,0.4367153108489706
human,large,42,345,6,4.833333333333333,0.6663867063780647
human,large,43,13683,5,5.2,0.7770670098724379
human,large,43,13596,8,6.75,0.6872347347940299
human,large,43,12423,7,4.285714285714286,0.5450918194998919
human,large,43,12358,9,5.888888888888889,0.5740849692499455
human,large,43,11719,5,5.8,0.8202838816974648
