model,prompt,groovist_raw_mean,groovist_mean,groovist_std,observed_rows,total_rows,unit,missing_policy
claude45,large,0.9806869814793269,0.7325623659427336,0.11442737932986073,60,60,story,all
claude45,original,1.0183868716160456,0.7488184759547448,0.10985289084562304,60,60,story,all
gpt4o,large,0.6639113806188106,0.5624364465464197,0.14862040087007813,60,60,story,all
gpt4o,original,0.6597527290383974,0.5591737420127514,0.1482125108845271,60,60,story,all
human,large,0.7135000334923258,0.5846719452740032,0.1734933228245789,60,60,story,all
human,original,0.5747929003089667,0.4542885905232404,0.28666953552776636,60,60,story,all
internvl3,large,0.7030294790863991,0.5847570448405914,0.15082565326408365,60,60,story,all
internvl3,original,0.7223102872570356,0.5957361314826091,0.15565076753909207,60,60,story,all
llama4scout,large,0.34925459874017784,0.3109652587554477,0.23249719826292184,60,60,story,all
llama4scout,original,0.4090433731364707,0.35251684492063406,0.24920588045306602,60,60,story,all
qwen3vl,large,1.0317643031477928,0.746440854242168,0.13719601716038726,60,60,story,all
qwen3vl,original,0.9774431268374125,0.723372305488783,0.12322541163853784,60,60,story,all
