model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
claude45,large,story_10408,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,large,story_10486,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,large,story_10499,2.0,13.0,0.0,0.0,0.15264375981490486
claude45,large,story_1111,2.0,17.0,0.0,0.0,0.11710726941545656
claude45,large,story_11260,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,story_11340,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,large,story_11457,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,story_11541,4.0,14.0,0.0,0.0,0.27818549032570244
claude45,large,story_11543,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,story_11678,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,large,story_11719,5.0,10.0,0.0,0.0,0.46211715726000974
claude45,large,story_1201,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,story_1214,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,large,story_12358,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,large,story_12423,4.0,12.0,0.0,0.0,0.32151273753163434
claude45,large,story_13596,2.0,9.0,0.0,0.0,0.2186350836871213
claude45,large,story_13683,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,large,story_1467,2.0,14.0,0.0,0.0,0.14189319376693255
claude45,large,story_2400,3.0,15.0,0.0,0.0,0.197375320224904
claude45,large,story_2702,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,large,story_2722,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,large,story_2926,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,large,story_3230,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,large,story_3295,3.0,15.0,0.0,0.0,0.197375320224904
claude45,large,story_345,3.0,14.0,0.0,0.0,0.21106497444117137
claude45,large,story_3761,2.0,9.0,0.0,0.0,0.2186350836871213
claude45,large,story_3891,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,story_4047,3.0,15.0,0.0,0.0,0.197375320224904
claude45,large,story_4173,3.0,7.0,0.0,0.0,0.4041267397578591
claude45,large,story_4797,3.0,14.0,0.0,0.0,0.21106497444117137
claude45,large,story_5047,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,story_5062,2.0,19.0,0.0,0.0,0.10487608974842187
claude45,large,story_515,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,large,story_5201,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,large,story_5265,2.0,11.0,0.0,0.0,0.17984081852510791
claude45,large,story_5349,3.0,17.0,0.0,0.0,0.17466124876398173
claude45,large,story_5540,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,large,story_5721,2.0,14.0,0.0,0.0,0.14189319376693255
claude45,large,story_6111,4.0,15.0,0.0,0.0,0.2605204458355026
claude45,large,story_6215,2.0,6.0,0.0,0.0,0.32151273753163434
claude45,large,story_6729,3.0,17.0,0.0,0.0,0.17466124876398173
claude45,large,story_6847,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,large,story_6878,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,large,story_6921,3.0,16.0,0.0,0.0,0.1853331999081395
claude45,large,story_7065,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,story_7150,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,story_7195,3.0,14.0,0.0,0.0,0.21106497444117137
claude45,large,story_721,2.0,9.0,0.0,0.0,0.2186350836871213
claude45,large,story_723,3.0,18.0,0.0,0.0,0.16514041292462933
claude45,large,story_733,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,large,story_7596,3.0,17.0,0.0,0.0,0.17466124876398173
claude45,large,story_7702,2.0,11.0,0.0,0.0,0.17984081852510791
claude45,large,story_8061,2.0,7.0,0.0,0.0,0.27818549032570244
claude45,large,story_8085,3.0,15.0,0.0,0.0,0.197375320224904
claude45,large,story_8154,3.0,17.0,0.0,0.0,0.17466124876398173
claude45,large,story_8551,3.0,16.0,0.0,0.0,0.1853331999081395
claude45,large,story_9334,4.0,11.0,0.0,0.0,0.34841301253861207
claude45,large,story_9418,3.0,15.0,0.0,0.0,0.197375320224904
claude45,large,story_948,3.0,15.0,0.0,0.0,0.197375320224904
claude45,large,story_9914,2.0,15.0,0.0,0.0,0.13254878839087839
claude45,original,story_10408,4.0,11.0,0.0,0.0,0.34841301253861207
claude45,original,story_10486,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,original,story_10499,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_1111,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,original,story_11260,4.0,13.0,0.0,0.0,0.29833624997754543
claude45,original,story_11340,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,original,story_11457,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,story_11541,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,original,story_11543,2.0,10.0,0.0,0.0,0.197375320224904
claude45,original,story_11678,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_11719,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_1201,2.0,7.0,0.0,0.0,0.27818549032570244
claude45,original,story_1214,4.0,10.0,0.0,0.0,0.3799489622552249
claude45,original,story_12358,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_12423,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,original,story_13596,4.0,11.0,0.0,0.0,0.34841301253861207
claude45,original,story_13683,2.0,11.0,0.0,0.0,0.17984081852510791
claude45,original,story_1467,4.0,12.0,0.0,0.0,0.32151273753163434
claude45,original,story_2400,4.0,10.0,0.0,0.0,0.3799489622552249
claude45,original,story_2702,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,original,story_2722,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_2926,3.0,7.0,0.0,0.0,0.4041267397578591
claude45,original,story_3230,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_3295,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,original,story_345,4.0,11.0,0.0,0.0,0.34841301253861207
claude45,original,story_3761,4.0,13.0,0.0,0.0,0.29833624997754543
claude45,original,story_3891,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_4047,3.0,19.0,0.0,0.0,0.1565955465920634
claude45,original,story_4173,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_4797,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_5047,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_5062,3.0,15.0,0.0,0.0,0.197375320224904
claude45,original,story_515,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,original,story_5201,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_5265,1.0,5.0,0.0,0.0,0.197375320224904
