model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
claude45,large,10408,1.0,5.0,0.0,0.0,0.197375320224904
claude45,large,10486,1.0,5.0,0.0,0.0,0.197375320224904
claude45,large,1111,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,11260,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,11340,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,11457,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,11541,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,11543,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,11678,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,11719,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,1201,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,12358,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,12423,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,large,13596,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,13683,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,large,1467,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,2400,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,2702,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,large,2722,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,2926,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,3230,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,3295,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,345,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,3891,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,4047,2.0,7.0,0.0,0.0,0.27818549032570244
claude45,large,4173,3.0,7.0,0.0,0.0,0.4041267397578591
claude45,large,4797,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,5062,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,515,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,large,5201,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,large,5265,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,5349,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,large,5721,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,6111,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,6215,2.0,6.0,0.0,0.0,0.32151273753163434
claude45,large,6729,3.0,8.0,0.0,0.0,0.35835739835078595
claude45,large,6847,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,6878,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,6921,3.0,6.0,0.0,0.0,0.46211715726000974
claude45,large,7065,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,7150,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,721,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,large,723,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,large,733,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,large,7596,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,large,7702,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,large,8061,2.0,7.0,0.0,0.0,0.27818549032570244
claude45,large,8085,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,large,8154,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,large,8551,3.0,7.0,0.0,0.0,0.4041267397578591
claude45,large,9334,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,large,9418,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,large,948,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,large,9914,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,original,10408,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,10486,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,1111,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,11260,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,11340,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,11457,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,11541,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,11543,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,11678,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,11719,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,1201,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,12358,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,original,12423,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,13596,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,original,13683,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,original,1467,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,2400,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,2702,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,2722,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,2926,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,3230,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,3295,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,345,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,3891,2.0,4.0,0.0,0.0,0.46211715726000974
claude45,original,4047,2.0,7.0,0.0,0.0,0.27818549032570244
claude45,original,4173,2.0,7.0,0.0,0.0,0.27818549032570244
claude45,original,4797,3.0,4.0,0.0,0.0,0.6351489523872873
