model,prompt,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity_mean,discourse_diversity_std,count
claude45,large,2.1,4.75,0.0,0.0,0.4180782669282478,0.13529977235699353,60
claude45,original,2.1333333333333333,4.666666666666667,0.0,0.0,0.43406272886623304,0.13191606485559348,60
gpt4o,large,1.8,4.716666666666667,0.0,0.0,0.36888629114552873,0.13452490462321362,60
gpt4o,original,2.0166666666666666,4.6,0.0,0.0,0.41227342654380017,0.14980178804674021,60
human,large,2.066666666666667,4.7,0.0,0.0,0.4067944823499088,0.11607851622692815,60
human,original,2.4,4.783333333333333,0.0,0.0,0.4625332014799918,0.14598087587448982,60
internvl3,large,1.8,5.116666666666666,0.0,0.0,0.34301069213384117,0.1452364583448775,60
internvl3,original,1.8333333333333333,4.95,0.0,0.0,0.35253834586801874,0.14960522564571546,60
llama4scout,large,1.95,5.3,0.0,0.0,0.35846365123792734,0.12809293611704003,60
llama4scout,original,1.9166666666666667,4.65,0.0,0.0,0.3917484434297289,0.1516682219677532,60
qwen3vl,large,1.9666666666666666,4.716666666666667,0.0,0.0,0.4011333118653063,0.13668724736596802,60
qwen3vl,original,1.7,4.666666666666667,0.0,0.0,0.3528922017761768,0.14557056439920021,60
