model,prompt,mcc_raw_mean,MCC_mean,MCC_std,observed_rows,total_rows,missing_policy,unit
claude45,large,0.716096757852077,0.5952577089019416,0.15765510173900776,47,60,nan,story
claude45,original,0.705638579308792,0.5889379400722854,0.15132288483412093,47,60,nan,story
gpt4o,large,0.8102228976697062,0.6558732945669893,0.12512735470154113,47,60,nan,story
gpt4o,original,0.744950185748058,0.6168707537185562,0.13439548371192958,47,60,nan,story
human,large,0.6614987429171827,0.5536448829777759,0.11831953369267509,47,60,nan,story
human,original,0.6631366092536305,0.5575010427604173,0.1865942529398529,47,60,nan,story
internvl3,large,0.6403115501519757,0.5466799634785828,0.1714848892575592,47,60,nan,story
internvl3,original,0.6607584712371947,0.5581974932586146,0.17562417835237945,47,60,nan,story
llama4scout,large,0.36252031459478273,0.31232539009710397,0.2824544470328373,47,60,nan,story
llama4scout,original,0.15019137678712147,0.1292663027008926,0.2425083201192659,47,60,nan,story
qwen3vl,large,0.7444275582573455,0.6161131400291161,0.14392460618170363,47,60,nan,story
qwen3vl,original,0.7423134076325565,0.6169255045761604,0.1260692409682695,47,60,nan,story
