model,prompt,tc_mean,tc_std,ic_mean,ic_std,mcc_raw_mean,MCC_mean,MCC_std,observed_rows,total_rows,missing_policy,unit
claude45,large,0.8458198489751887,0.19130159028054403,0.8402224824355972,0.19108749489610719,0.6897171831695641,0.5467754244995526,0.2986560468911009,126,149,nan,character
claude45,original,0.8427093059446,0.196231734254964,0.8402224824355972,0.19108749489610713,0.6915746031746032,0.5490592001854617,0.2952093894402861,125,149,nan,character
gpt4o,large,0.8471469622331692,0.19764473125714377,0.8402224824355972,0.19108749489610724,0.7991685563114135,0.6292501107551293,0.23788675510495472,126,149,nan,character
gpt4o,original,0.8744834428024084,0.19247566849358544,0.8402224824355972,0.19108749489610724,0.7446037995250594,0.5956613459533543,0.2452161610820511,127,149,nan,character
human,large,0.8934722759926013,0.13822054703590606,0.8402224824355972,0.1910874948961072,0.6342201058201058,0.508714892804501,0.20483872804786857,125,149,nan,character
human,original,0.8634024577572965,0.17948428709119846,0.8402224824355972,0.19108749489610719,0.6427700348432056,0.5130000383592934,0.31096429360986494,123,149,nan,character
internvl3,large,0.7842371592371592,0.20960717274698656,0.8402224824355972,0.19108749489610713,0.6392950148809524,0.523577126725256,0.26954811893226477,128,149,nan,character
internvl3,original,0.8068698121450416,0.21842269877527654,0.8402224824355972,0.19108749489610716,0.6343550806149232,0.5212580436873904,0.2677230150454926,127,149,nan,character
llama4scout,large,0.8419627307558342,0.19235855126121973,0.8402224824355972,0.19108749489610716,0.33761859313040415,0.27552263411397965,0.3319570876822848,127,149,nan,character
llama4scout,original,0.9377240143369175,0.12499336236193244,0.8402224824355972,0.1910874948961072,0.19683184927087366,0.16037038314804195,0.287606925199089,123,149,nan,character
qwen3vl,large,0.8152116402116403,0.20623996486460386,0.8402224824355972,0.1910874948961072,0.7301398337112623,0.5778356977647081,0.2791241019007859,126,149,nan,character
qwen3vl,original,0.8170915858968956,0.20601914747756797,0.8402224824355972,0.1910874948961072,0.7301866319444444,0.5813296926452278,0.2691644169864069,128,149,nan,character
