model,prompt,tc_mean,tc_std,ic_mean,ic_std,mcc_raw_mean,MCC_mean,MCC_std,observed_rows,total_rows,missing_policy,unit
claude45,large,0.8458198489751887,0.19130159028054403,0.8402224824355972,0.19108749489610719,0.5832507723447321,0.46237384890566197,0.33855981163333804,149,149,zero,character
claude45,original,0.8427093059446,0.196231734254964,0.8402224824355972,0.19108749489610713,0.5801800362203047,0.4606201343837766,0.3376809796030247,149,149,zero,character
gpt4o,large,0.8471469622331692,0.19764473125714377,0.8402224824355972,0.19108749489610724,0.6758069670821348,0.5321175433231294,0.3159602380734155,149,149,zero,character
gpt4o,original,0.8744834428024084,0.19247566849358544,0.8402224824355972,0.19108749489610724,0.6346622989240439,0.5077113485642684,0.31007660592213193,149,149,zero,character
human,large,0.8934722759926013,0.13822054703590606,0.8402224824355972,0.1910874948961072,0.5320638471645183,0.4267742389299505,0.26525686210193794,149,149,zero,character
human,original,0.8634024577572965,0.17948428709119846,0.8402224824355972,0.19108749489610719,0.5306088207094918,0.4234832531422355,0.3433309870266932,149,149,zero,character
internvl3,large,0.7842371592371592,0.20960717274698656,0.8402224824355972,0.19108749489610713,0.5491930329178651,0.44978437732102533,0.30945428186683993,149,149,zero,character
internvl3,original,0.8068698121450416,0.21842269877527654,0.8402224824355972,0.19108749489610716,0.5406919143496325,0.44429376878052734,0.3089448545554535,149,149,zero,character
llama4scout,large,0.8419627307558342,0.19235855126121973,0.8402224824355972,0.19108749489610716,0.2877688679702103,0.23484143981527122,0.32161044215023216,149,149,zero,character
llama4scout,original,0.9377240143369175,0.12499336236193244,0.8402224824355972,0.1910874948961072,0.1624853520826675,0.1323862894443568,0.2681715684255224,149,149,zero,character
qwen3vl,large,0.8152116402116403,0.20623996486460386,0.8402224824355972,0.1910874948961072,0.6174336848833494,0.4886395833446525,0.3311824751010503,149,149,zero,character
qwen3vl,original,0.8170915858968956,0.20601914747756797,0.8402224824355972,0.1910874948961072,0.6272744220730798,0.4993973198563031,0.32150079534027465,149,149,zero,character
