model,story_id,tc,ic,mcc_raw_char,MCC
claude45,345,1.0,0.9,0.9,0.7128154631118069
claude45,515,0.6898148148148149,0.7222222222222222,0.9675925925925926,0.74694534700927
claude45,721,1.0,1.0,0.5,0.3807970779778824
claude45,723,0.7142857142857143,0.625,0.9107142857142857,0.7214749119973186
claude45,733,0.9166666666666667,0.8166666666666667,0.9,0.7128154631118069
claude45,948,0.8055555555555555,0.7666666666666667,0.6375,0.5096066935569511
claude45,1111,,,0.0,0.0
claude45,1201,,,0.0,0.0
claude45,1214,0.5,0.5,0.5,0.3807970779778824
claude45,1467,1.0,1.0,0.5,0.3807970779778824
claude45,2400,0.9375,0.95,0.8,0.6092753247646119
claude45,2702,1.0,0.9,0.26666666666666666,0.221345590089283
claude45,2722,,,0.0,0.0
claude45,2926,0.7000000000000001,0.9,0.45999999999999996,0.3775496166967247
claude45,3230,0.8333333333333334,0.75,0.25,0.23105857863000487
claude45,3295,0.9,0.9333333333333332,0.6666666666666666,0.5077294373038432
claude45,3761,0.875,0.9,0.775,0.6495928613275681
claude45,3891,1.0,1.0,0.5,0.3807970779778824
claude45,4047,,,0.0,0.0
claude45,4173,0.9,0.875,0.975,0.7506886036148845
claude45,4797,0.5,1.0,0.25,0.23105857863000487
claude45,5047,,,0.0,0.0
claude45,5062,,,0.0,0.0
claude45,5201,0.45499999999999996,0.6521428571428571,0.7571428571428571,0.6153327120046881
claude45,5265,0.775,0.55,0.30999999999999994,0.25983714453102724
claude45,5349,1.0,0.8,0.8,0.6493218614769001
claude45,5540,,,0.0,0.0
claude45,5721,,,0.0,0.0
claude45,6111,1.0,0.7555555555555555,0.5333333333333333,0.43288124098460007
claude45,6215,1.0,0.7083333333333333,0.375,0.31757447619364365
claude45,6729,0.8095238095238094,0.8333333333333333,0.5190476190476191,0.4148608510916141
claude45,6847,1.0,0.9166666666666666,0.9166666666666666,0.7194457547662724
claude45,6878,0.4,0.6,0.8,0.664036770267849
claude45,6921,0.8571428571428571,0.6111111111111112,0.753968253968254,0.6247687005508582
claude45,7065,0.775,0.8,0.975,0.7506886036148845
claude45,7150,1.0,0.9333333333333332,0.6,0.47521030874120457
claude45,7195,0.8,0.6666666666666666,0.4333333333333333,0.3498382937101527
claude45,7596,0.8333333333333333,0.7,0.5333333333333333,0.4813659538015675
claude45,7702,0.8166666666666667,1.0,0.5444444444444444,0.4487661868353396
claude45,8061,0.626984126984127,0.557142857142857,0.9301587301587301,0.7295070165407852
claude45,8085,0.8333333333333334,0.875,0.9583333333333333,0.741761064526366
claude45,8154,0.95,0.95,1.0,0.7615941559557649
claude45,8551,,,0.0,0.0
claude45,9334,0.8333333333333334,1.0,0.8333333333333334,0.6822617902381697
claude45,9418,0.8055555555555555,0.75,0.8333333333333334,0.6755462971806149
claude45,9914,0.8333333333333333,0.8,0.6444444444444445,0.49791279310253916
claude45,10408,1.0,1.0,0.75,0.5711956169668236
claude45,10486,1.0,0.875,0.375,0.31757447619364365
claude45,10499,0.9,0.75,0.5666666666666667,0.45532064435764275
claude45,11260,0.8333333333333333,0.9333333333333332,0.5555555555555555,0.4481257004345583
claude45,11340,1.0,1.0,0.3333333333333333,0.2538647186519216
claude45,11457,,,0.0,0.0
claude45,11541,,,0.0,0.0
claude45,11543,,,0.0,0.0
claude45,11678,1.0,1.0,0.3333333333333333,0.2538647186519216
claude45,11719,0.9,0.625,0.725,0.6197583647522253
claude45,12358,,,0.0,0.0
claude45,12423,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.7290750273931262
claude45,13596,1.0,1.0,1.0,0.7615941559557649
