model,prompt,story_id,groovist,MCC,mci_tanh_mcc_over_gv,mci_tanh_gv_over_mcc
human,original,13683,0.4255181917244814,0.3293526856563642,0.6492515356946015,0.8596450906411596
human,original,13596,0.2414197566947521,0.0,0.0,1.0
human,original,12423,0.2520791804345022,0.4752103087412045,0.9549490601855072,0.48573121514257994
human,original,12358,0.5841781106101654,0.0,0.0,1.0
human,original,11719,0.186726691795691,0.6118556566078873,0.9971537858867094,0.2960467011973141
human,original,11678,0.4420554204845765,0.221345590089283,0.46268249103386483,0.9638240840021587
human,original,11543,0.427706293711258,0.0,0.0,1.0
human,original,11541,0.497792978922896,0.0,0.0,1.0
human,original,11457,0.2089908028694664,0.0,0.0,1.0
human,original,11340,0.6686742035563726,0.2538647186519216,0.3624067910199381,0.9897445955462576
human,original,11260,0.5635384823763564,0.4156065718719197,0.6276290464713492,0.8754485556116346
human,original,10486,0.9264179058931892,0.6983715541715261,0.6374346877945278,0.8684011742412148
human,original,10408,0.5386847155646775,0.5711956169668236,0.785798679062824,0.7366353878668402
human,original,9914,0.6718280405886473,0.4003621124219614,0.534146715515426,0.9326081663858444
human,original,9418,0.0922078077461661,0.4433395888772948,0.9998667142084088,0.20503662427396216
human,original,9334,0.7285934769288507,0.6822617902381697,0.7335681988478203,0.7886721111004852
human,original,8551,-0.0309319974076293,0.0,-0.0,-1.0
human,original,8154,0.1374831322929346,0.4316674528597634,0.9962585965057167,0.30814378930807296
human,original,8085,0.1378098778807473,0.5711956169668236,0.9994979050044502,0.23669084149021585
human,original,8061,0.498309522607672,0.6473461938029312,0.8614872951721573,0.6467973386770893
human,original,7702,0.1985010524969522,0.5077294373038432,0.9880672851216415,0.3721860946143171
human,original,7596,0.7682397778356571,0.5311053762466973,0.5988342032245455,0.8949970705031068
human,original,7150,0.3201423229801144,0.7543237877285113,0.9821940620852644,0.40063883684101953
human,original,7065,-0.1110057109122948,0.7128154631118069,-0.9999947101343974,-0.1544817531143642
human,original,6921,-0.0559125328798402,0.6981502448769116,-0.9999999999714624,-0.0799158916034925
human,original,6878,0.6267646442643888,0.0,0.0,1.0
human,original,6847,0.7055774860895851,0.4059772992450658,0.5193016072381433,0.9399910795526216
human,original,6729,0.5235778270550356,0.1523188311911529,0.2829805995820658,0.9979350453108283
human,original,6215,0.6671321257405399,0.7615941559557649,0.8149502012195755,0.7043936484832966
human,original,6111,-0.0484801681363532,0.5077294373038432,-0.9999999983991296,-0.09519512523018037
human,original,5721,0.8652306749962864,0.0,0.0,1.0
human,original,5349,0.8436470534654561,0.7468691896538088,0.7090577313940916,0.8108748009175986
human,original,5265,0.5221098957266107,0.2252307855055717,0.40647876897400564,0.9807976306415641
human,original,5201,0.4729383689150921,0.459630541820679,0.7495211125303246,0.7734882003828878
human,original,5062,-0.087038680466407,0.0,-0.0,-1.0
human,original,4797,0.3569126636922229,0.3807970779778824,0.788297799714511,0.7339690460721959
human,original,4173,0.6348790865961849,0.5306478944028192,0.6835914317053707,0.8325601351435987
human,original,4047,0.4932744319413879,0.0,0.0,1.0
human,original,3891,0.6147168665759651,0.7128154631118069,0.8209040556242848,0.6974811998588947
human,original,3295,0.3832543775663459,0.4655810361143507,0.8381163622310298,0.6767939148995155
human,original,3230,0.8353246174027892,0.3807970779778824,0.42670986639795144,0.9754355200572401
human,original,2926,0.2808593308808987,0.2727426715376309,0.7491875337668443,0.7738118118817113
human,original,2722,0.4425726587999649,0.0,0.0,1.0
human,original,2702,0.9544001678534914,0.221345590089283,0.22785056275251866,0.9996404482979886
human,original,2400,0.6113353444459363,0.5897638476270287,0.7463722417542874,0.7765325482126434
human,original,1467,0.4000963707786193,0.7615941559557649,0.956538365310539,0.48181140861087896
human,original,1201,0.7151393415746865,0.0,0.0,1.0
human,original,1111,0.473368824664465,0.0,0.0,1.0
human,original,948,0.7230803436941962,0.3117049289039397,0.4062228501430607,0.9808602285004873
human,original,733,0.0129232531695244,0.714748805761072,1.0,0.01807886182375634
human,original,723,0.8703983247280546,0.6777821008468294,0.6519618338015234,0.8575962262125933
human,original,721,0.069873798056097,0.5711956169668236,0.9999998412922422,0.12172245190527305
human,original,515,0.5760047175105154,0.6625849320709064,0.8178572850840404,0.7010333691284406
human,original,345,0.4895473373601182,0.7506886036148845,0.9110104300710684,0.573102812499432
human,large,515,0.7563319141316678,0.6674756274695116,0.7076779244407397,0.8120853559024545
human,large,12423,0.7497280608466151,0.6336137449882728,0.6885139350477929,0.8284759309807953
human,large,6921,0.2972156544615392,0.4607350723374357,0.9138136825815697,0.5683553974219155
human,large,2702,0.7948594637725286,0.3656393370841497,0.43008829150556377,0.9744593501191635
human,large,5265,0.7933271676820273,0.228300424962736,0.2800864487644081,0.9980842835067485
human,large,11541,0.53366621894062,0.0,0.0,1.0
human,large,8085,0.8319000437085609,0.4281748573534369,0.4735952902506377,0.9597631542214585
