model,prompt,groovist_mean,MCC_mean,mci_tanh_mcc_over_gv_mean,mci_tanh_gv_over_mcc_mean,observed_rows,total_rows,missing_policy,unit
claude45,large,0.7325623659427336,0.5691613232253072,0.6293179916421374,0.8444352422915754,47,60,nan,story
claude45,original,0.7488184759547448,0.5617811930284073,0.61882373739329,0.8568225283049812,47,60,nan,story
gpt4o,large,0.5624364465464197,0.6384263485321873,0.7919467188364008,0.7032860004860565,47,60,nan,story
gpt4o,original,0.5591737420127514,0.5988510613154862,0.7621906373116558,0.7301664853393721,47,60,nan,story
human,large,0.5846719452740032,0.528355882910504,0.710911955415779,0.7786983409949286,47,60,nan,story
human,original,0.45428859052324033,0.5309316215995691,0.6118604125261646,0.6449240956212297,47,60,nan,story
internvl3,large,0.5847570448405914,0.5251831243253464,0.683440385391303,0.7870599532757594,47,60,nan,story
internvl3,original,0.5957361314826091,0.541209877073736,0.6984153453502712,0.7734446468132661,47,60,nan,story
llama4scout,large,0.3109652587554477,0.2958600960060219,0.4364384126217595,0.5475292203321602,47,60,nan,story
llama4scout,original,0.35251684492063406,0.12285256087130386,0.19116959963628768,0.8235595968871077,47,60,nan,story
qwen3vl,large,0.746440854242168,0.5910755228056341,0.6441099323121176,0.8392513980087191,47,60,nan,story
qwen3vl,original,0.723372305488783,0.5918774919736036,0.6543208869468653,0.8344293055455376,47,60,nan,story
