model,prompt,groovist_mean,MCC_mean,mci_tanh_mcc_over_gv_mean,mci_tanh_gv_over_mcc_mean,observed_rows,total_rows,missing_policy,unit
claude45,large,0.7325623659427336,0.41488328941799063,0.4677820167353692,0.8926377658015384,60,60,zero,story
claude45,original,0.7488184759547448,0.4076614200165866,0.4578927925499773,0.9030828712408342,60,60,zero,story
gpt4o,large,0.5624364465464197,0.4711428805798173,0.5958797848014307,0.7833143861313393,60,60,zero,story
gpt4o,original,0.5591737420127514,0.44719600888775063,0.5760914082317056,0.800745169459292,60,60,zero,story
human,large,0.5846719452740032,0.3857396845342056,0.5294346444664846,0.8418810341033454,60,60,zero,story
human,original,0.45428859052324033,0.37800062571702475,0.4472017929760101,0.6747349781479081,60,60,zero,story
internvl3,large,0.5847570448405914,0.39535882477501494,0.5171780568912976,0.8424236679305498,60,60,zero,story
internvl3,original,0.5957361314826091,0.40615882357816757,0.5314086328318042,0.8360798774548871,60,60,zero,story
llama4scout,large,0.3109652587554477,0.22511116212873372,0.3415398488091147,0.6128933916038017,60,60,zero,story
llama4scout,original,0.35251684492063406,0.09517673635480502,0.14843740157069887,0.8285406888809899,60,60,zero,story
qwen3vl,large,0.746440854242168,0.43686093865384756,0.48214049429246153,0.8858026666239934,60,60,zero,story
qwen3vl,original,0.723372305488783,0.4451275017804966,0.49522186336557245,0.8784739331409382,60,60,zero,story
