model,prompt,story_id,coref_ratio,discourse_diversity,char_coherence,topic_switch_rate,mci_tanh_mcc_over_gv,ncs_arithmetic,ncs_geometric
human,original,13683,0.998852435414064,0.2449186624037091,0.7615941517560215,0.168354700606285,0.6492515356946015,0.5645942971749363,0.45896230813931
human,original,13596,0.616018324954511,0.6351489523872873,0.0,0.403437555118366,0.0,0.33092096649203284,0.00043616329304873983
human,original,12423,0.8288773922429453,0.3799489622552249,0.6118556489005589,0.5037411583057526,0.9549490601855072,0.6558744443779978,0.6214560810338492
human,original,12358,0.9968991101462736,0.2449186624037091,0.0,0.6105937225743998,0.0,0.3704822990248765,0.00043120629301110583
human,original,11719,0.9949052907405388,0.6351489523872873,0.5415534419513606,0.3472875306994943,0.9971537858867094,0.7032098003330781,0.6527546934158246
human,original,11678,0.9547239922927336,0.4621171572600097,0.4621171533277711,0.5350876950442796,0.4626824910338648,0.5753456977917317,0.5503234484021354
human,original,11543,0.8474072141058118,0.4621171572600097,0.0,0.5757610805046688,0.0,0.377057090374098,0.00046840046263644115
human,original,11541,0.6698515564701782,0.4621171572600097,0.0,0.5121391883630926,0.0,0.3288215804186561,0.00043653969374834507
human,original,11457,0.9999999635977412,0.4621171572600097,0.0,0.334122628056086,0.0,0.3592479497827674,0.0004342417723476878
human,original,11340,0.9968991101462736,0.4621171572600097,0.7615941517560215,0.5619576522074304,0.3624067910199381,0.6289949724779347,0.58993664163269
human,original,11260,0.5640291275177679,0.7615941559557649,0.7615941510560642,0.4780093336268283,0.6684673669507347,0.646738827021432,0.6365801196453906
human,original,10499,0.5952677306997588,0.4621171572600097,0.0,0.4512927016602652,0.3677192534700807,0.37527936861802286,0.013548394387334803
human,original,10486,0.7770670098724379,0.5370495669980352,0.38079707587801076,0.1686160475953137,0.6374346877945278,0.5001928776276652,0.4430984395559569
human,original,10408,0.4371630286577889,0.3799489622552249,0.7615941375818877,0.5527160868563368,0.785798679062824,0.5834441788828124,0.559733298969232
human,original,9914,0.8936263675093581,0.4621171572600097,0.6118556525418963,0.1057864031187596,0.534146715515426,0.5215064591890899,0.4274934900309213
human,original,9418,0.9706895565769862,0.5370495669980352,0.2310585761723557,0.5251291798251447,0.9910302400055472,0.6509914239156138,0.5746904557001828
human,original,9334,0.9968991101462736,0.197375320224904,0.5370495627285687,0.1095047995008628,0.7335681988478203,0.514879398289686,0.38527109805537696
human,original,8551,0.9981133843224368,0.5164076551851798,0.0,0.2835278040323924,-0.0,0.3596097687080018,0.0004294905836983316
human,original,8154,0.9138494194403484,0.664036770267849,0.7615941465063423,0.4138406561854665,0.9962585965057168,0.7499159177811446,0.7177928480801767
human,original,8085,0.5952677306997588,0.5370495669980352,0.6205394334183302,0.4703820813728717,0.9994979050044502,0.6445473434986893,0.6222225665161298
human,original,8061,0.808330888044811,0.2781854903257024,0.45520149793392656,0.4855120464164282,0.8614872951721573,0.5777434435786051,0.5324946546443805
human,original,7702,0.9981133843224368,0.4621171572600097,0.7615941489561926,0.3840052974716562,0.9880672851216415,0.7187794546263875,0.6682760061212042
human,original,7596,0.8288773922429453,0.3799489622552249,0.6493218567173271,0.3942991106311304,0.5988342032245455,0.5702563050142346,0.5454583609455124
human,original,7195,0.70280303366564,0.6351489523872873,0.4621171533277711,0.5141513652810346,0.4988776289533134,0.5626196267230091,0.5555322464221396
human,original,7150,0.70280303366564,0.2449186624037091,0.3610356242344685,0.5060484793653994,0.9821940620852644,0.5593999723508963,0.49883740133501053
human,original,7065,0.6698515564701782,0.4621171572600097,0.3918149434371926,0.5574580105211657,-0.9999947101343974,0.21624939151082972,0.014655639408533917
human,original,6921,0.5361968300109659,0.5827829453479101,0.4682065400006037,0.3428154274393591,-0.9999999999714624,0.18600034856547526,0.013805933890523769
human,original,6878,0.9403764740238472,0.4621171572600097,0.0,0.5918732661389455,0.0,0.39887337948456053,0.00048090192866875626
human,original,6847,0.9332874150134228,0.4621171572600097,0.38079707587801076,0.3675483296355482,0.5193016072381433,0.5326103170050269,0.5003098515882546
human,original,6729,0.3980657062931662,0.2449186624037091,0.0,0.4263408993701748,0.2829805995820659,0.2704611735298232,0.010329946478953387
human,original,6215,0.9403764740238472,0.4621171572600097,0.160756365777052,0.6571536124811856,0.8149502012195755,0.607070762152334,0.5183272128042976
human,original,6111,0.6698515564701782,0.6351489523872873,0.3807970695783957,0.5165029976522535,-0.9999999983991296,0.24046011553779714,0.015294107090167772
human,original,5721,0.7601953582523919,0.4621171572600097,0.0,0.4010792187328069,0.0,0.32467834684904173,0.00042636495288192147
human,original,5540,0.4614626231311375,0.4621171572600097,0.0,0.4838152293477463,0.0,0.2814790019477787,0.00040060248339503755
human,original,5349,0.6499394116396263,0.3799489622552249,0.38079706747852404,0.6820328535438752,0.7090577313940916,0.5603552052622683,0.5389590054791559
