model,prompt,story_id,topic_switch_rate,n_sentences
claude45,large,345,0.10053318690536597,5.0
claude45,large,515,0.2419945959170687,9.0
claude45,large,721,0.4793964440334822,5.0
claude45,large,723,0.4030093398767711,9.0
claude45,large,733,0.5346313520728011,6.0
claude45,large,948,0.03970991646646676,5.0
claude45,large,1111,0.11804275699592079,5.0
claude45,large,1201,0.5623626342158426,5.0
claude45,large,1214,0.17766055778580644,6.0
claude45,large,1467,0.3150725914818494,5.0
claude45,large,2400,0.2669987251540021,5.0
claude45,large,2702,0.02044786918119884,6.0
claude45,large,2722,0.05003666341576877,5.0
claude45,large,2926,0.4320975697586604,5.0
claude45,large,3230,0.11924593368611783,5.0
claude45,large,3295,0.20443460544364078,5.0
claude45,large,3761,0.0993098624218161,5.0
claude45,large,3891,0.07575329848472206,5.0
claude45,large,4047,0.2602933355889192,8.0
claude45,large,4173,0.3123877489616707,8.0
claude45,large,4797,0.020390876677296728,5.0
claude45,large,5047,0.4849414046487821,5.0
claude45,large,5062,0.2579573400959954,5.0
claude45,large,5201,0.47701950448370567,9.0
claude45,large,5265,0.3985947827764954,5.0
claude45,large,5349,0.6273065922706613,6.0
claude45,large,5540,0.12131392126713883,5.0
claude45,large,5721,0.10838049645078547,5.0
claude45,large,6111,0.2665146242223483,5.0
claude45,large,6215,0.5872737921642821,7.0
claude45,large,6729,0.20672086917414031,9.0
claude45,large,6847,0.35832801442090356,5.0
claude45,large,6878,0.4199012241541431,5.0
claude45,large,6921,0.3222105383448064,7.0
claude45,large,7065,0.459337043086279,5.0
claude45,large,7150,0.12816366696604817,5.0
claude45,large,7195,0.15596454057525327,5.0
claude45,large,7596,0.08861681142898722,6.0
claude45,large,7702,0.12781395627918418,5.0
claude45,large,8061,0.48114626643719205,8.0
claude45,large,8085,0.2224795637096443,6.0
claude45,large,8154,0.494236704235809,6.0
claude45,large,8551,0.44851429418142585,8.0
claude45,large,9334,0.04511893926780795,6.0
claude45,large,9418,0.460204109630366,6.0
claude45,large,9914,0.046585322451246275,5.0
claude45,large,10408,0.2084649922180449,6.0
claude45,large,10486,0.27448040723454825,6.0
claude45,large,10499,0.19730513200922994,5.0
claude45,large,11260,0.09286891155189932,5.0
claude45,large,11340,0.13146504869372172,5.0
claude45,large,11457,0.6847424386702256,5.0
claude45,large,11541,0.16422384178875987,5.0
claude45,large,11543,0.13453201327486872,5.0
claude45,large,11678,0.18592831162354936,5.0
claude45,large,11719,0.029228824423093214,5.0
claude45,large,12358,0.5973933786930582,5.0
claude45,large,12423,0.18251579470362986,6.0
claude45,large,13596,0.11078159266556661,5.0
claude45,large,13683,0.08199383993542955,6.0
claude45,original,345,0.10832403391839066,5.0
claude45,original,515,0.2545938055067122,9.0
claude45,original,721,0.5025145180923639,5.0
claude45,original,723,0.46174779226486623,7.0
claude45,original,733,0.5772661521973144,6.0
claude45,original,948,0.036994935280763,5.0
claude45,original,1111,0.09863293787899895,5.0
claude45,original,1201,0.4843621516957148,5.0
claude45,original,1214,0.2748298933915633,6.0
claude45,original,1467,0.302230677179692,5.0
claude45,original,2400,0.28097748645563836,5.0
claude45,original,2702,0.04763206354052561,6.0
claude45,original,2722,0.07864294387121298,5.0
claude45,original,2926,0.5402949337468297,5.0
claude45,original,3230,0.31919696642949597,5.0
claude45,original,3295,0.23214579516897213,5.0
claude45,original,3761,0.15537051439212285,5.0
claude45,original,3891,0.05931383441894026,5.0
claude45,original,4047,0.2655485197815758,8.0
claude45,original,4173,0.26431875099898905,8.0
claude45,original,4797,0.014614412211546607,5.0
claude45,original,5047,0.09488739343807534,5.0
claude45,original,5062,0.2522760720066364,5.0
claude45,original,5201,0.5257840889597529,9.0
claude45,original,5265,0.3502017214899876,5.0
claude45,original,5349,0.6975679846154752,5.0
claude45,original,5540,0.06944506937907477,5.0
claude45,original,5721,0.27810998680618526,5.0
claude45,original,6111,0.264483883978032,5.0
claude45,original,6215,0.6321350533875093,7.0
claude45,original,6729,0.5232255829747159,9.0
claude45,original,6847,0.2851798536912318,5.0
claude45,original,6878,0.5476716616860021,5.0
claude45,original,6921,0.2697758788175709,7.0
claude45,original,7065,0.5672067690819227,5.0
