model,prompt,n_sentences,topic_switch_rate_mean,topic_switch_rate_std,count
claude45,large,5.75,0.26173964524557075,0.1810050587924737,60
claude45,original,5.666666666666667,0.27157516951131216,0.20028302455551794,60
gpt4o,large,5.733333333333333,0.3142673763742555,0.18833912470925376,60
gpt4o,original,5.6,0.28288621121478774,0.18243229619722298,60
human,large,5.709056022408963,0.3344100109667664,0.14525285357098255,60
human,original,5.8,0.42526634214869147,0.14418235035876878,60
internvl3,large,6.116666666666666,0.29982184325047206,0.21441282891652672,60
internvl3,original,5.95,0.2708642403701276,0.17831998044913042,60
llama4scout,large,6.316666666666666,0.35119224208189037,0.19051610254347656,60
llama4scout,original,5.65,0.2587798384197488,0.169815301295826,60
qwen3vl,large,5.733333333333333,0.27584090507814135,0.18547582336175,60
qwen3vl,original,5.666666666666667,0.3844541817092172,0.18504287553349202,60
